sex,age,address,Pstatus,Medu,Fedu,studytime,failures,schoolsup,paid,higher,internet,freetime,goout,Dalc,Walc,health,absences,G3,result
F,18,U,A,4,4,2,0,yes,no,yes,no,3,4,1,1,3,6,6,P
F,17,U,T,1,1,2,0,no,no,yes,yes,3,3,1,1,3,4,6,P
F,15,U,T,1,1,2,3,yes,yes,yes,yes,3,2,2,3,3,10,10,P
F,15,U,T,4,2,3,0,no,yes,yes,yes,2,2,1,1,5,2,15,P
F,16,U,T,3,3,2,0,no,yes,yes,no,3,2,1,2,5,4,10,P
M,16,U,T,4,3,2,0,no,yes,yes,yes,4,2,1,2,5,10,15,P
M,16,U,T,2,2,2,0,no,no,yes,yes,4,4,1,1,3,0,11,P
F,17,U,A,4,4,2,0,yes,no,yes,no,1,4,1,1,1,6,6,P
M,15,U,A,3,2,2,0,no,yes,yes,yes,2,2,1,1,1,0,19,P
M,15,U,T,3,4,2,0,no,yes,yes,yes,5,1,1,1,5,0,15,P
F,15,U,T,4,4,2,0,no,yes,yes,yes,3,3,1,2,2,0,9,P
F,15,U,T,2,1,3,0,no,no,yes,yes,2,2,1,1,4,4,12,P
M,15,U,T,4,4,1,0,no,yes,yes,yes,3,3,1,3,5,2,14,P
M,15,U,T,4,3,2,0,no,yes,yes,yes,4,3,1,2,3,2,11,P
M,15,U,A,2,2,3,0,no,no,yes,yes,5,2,1,1,3,0,16,P
F,16,U,T,4,4,1,0,no,no,yes,yes,4,4,1,2,2,4,14,P
F,16,U,T,4,4,3,0,no,yes,yes,yes,2,3,1,2,2,6,14,P
F,16,U,T,3,3,2,0,yes,no,yes,no,3,2,1,1,4,4,10,P
M,17,U,T,3,2,1,3,no,no,yes,yes,5,5,2,4,5,16,5,P
M,16,U,T,4,3,1,0,no,yes,yes,yes,1,3,1,3,5,4,10,P
M,15,U,T,4,3,2,0,no,no,yes,yes,4,1,1,1,1,0,15,P
M,15,U,T,4,4,1,0,no,yes,yes,yes,4,2,1,1,5,0,15,P
M,16,U,T,4,2,2,0,no,no,yes,yes,5,1,1,3,5,2,16,P
M,16,U,T,2,2,2,0,no,no,yes,yes,4,4,2,4,5,0,12,P
F,15,R,T,2,4,3,0,yes,yes,yes,yes,3,2,1,1,5,2,8,P
F,16,U,T,2,2,1,2,no,yes,yes,yes,2,2,1,3,5,14,8,P
M,15,U,T,2,2,1,0,no,yes,yes,yes,2,2,1,2,5,2,11,P
M,15,U,T,4,2,1,0,no,yes,yes,yes,2,4,2,4,1,4,15,P
M,16,U,A,3,4,2,0,yes,no,yes,yes,3,3,1,1,5,4,11,P
M,16,U,T,4,4,2,0,no,yes,yes,yes,4,5,5,5,5,16,11,P
M,15,U,T,4,4,2,0,no,yes,yes,yes,4,2,3,4,5,0,12,P
M,15,U,T,4,4,2,0,no,no,yes,yes,3,1,1,1,5,0,17,P
M,15,R,T,4,3,2,0,no,no,yes,yes,5,2,1,1,5,0,16,P
M,15,U,T,3,3,2,0,no,no,yes,yes,3,2,1,1,2,0,12,P
M,16,U,T,3,2,1,0,no,yes,yes,yes,4,3,1,1,5,0,15,P
F,15,U,T,2,3,1,0,no,no,yes,no,5,1,1,1,5,0,6,P
M,15,U,T,4,3,3,0,no,no,yes,yes,4,3,1,1,4,2,18,P
M,16,R,A,4,4,3,0,no,no,yes,yes,4,3,1,1,5,7,15,P
F,15,R,T,3,4,3,0,yes,yes,yes,yes,3,2,1,1,5,2,11,P
F,15,R,T,2,2,1,0,yes,yes,yes,no,3,1,1,1,2,8,13,P
F,16,U,T,2,2,2,1,no,no,yes,yes,3,3,1,2,3,25,11,P
M,15,U,T,4,4,1,0,no,no,yes,yes,4,3,2,4,5,8,12,P
M,15,U,T,4,4,2,0,no,no,yes,yes,3,3,1,1,5,2,18,P
M,15,U,T,2,2,1,0,yes,no,yes,yes,4,1,1,1,1,0,11,P
F,16,U,T,2,2,2,1,yes,no,yes,yes,3,3,2,2,5,14,9,P
F,15,U,A,4,3,2,0,yes,yes,yes,yes,2,2,1,1,5,8,6,P
F,16,U,A,3,3,2,0,no,no,yes,yes,3,5,1,4,3,12,11,P
M,16,U,T,4,3,4,0,no,no,yes,yes,2,2,1,1,2,4,20,P
M,15,U,T,4,2,2,0,no,yes,yes,no,3,3,2,2,5,2,14,P
F,15,U,T,4,4,2,1,yes,no,yes,yes,4,4,1,1,3,2,7,P
F,16,U,T,2,2,2,0,no,yes,yes,yes,3,3,2,3,4,2,13,P
F,15,U,T,4,2,2,0,no,yes,yes,yes,3,3,1,1,5,2,13,P
M,15,U,A,4,2,1,1,no,no,yes,no,5,5,3,4,5,6,10,P
F,15,U,T,4,4,1,0,yes,yes,yes,yes,3,4,2,3,5,0,11,P
F,15,U,A,3,3,1,0,no,yes,yes,yes,3,4,4,4,1,6,13,P
F,16,U,A,2,1,2,0,no,yes,yes,yes,3,4,1,1,2,8,10,P
F,15,U,A,4,3,2,0,no,yes,yes,yes,3,2,1,1,1,0,15,P
M,15,U,T,4,4,2,0,no,no,yes,no,2,2,1,1,5,4,15,P
M,15,U,T,1,2,2,0,yes,no,yes,yes,3,2,1,1,5,2,9,P
F,16,U,T,4,2,2,0,no,no,yes,yes,2,3,1,1,5,2,16,P
F,16,R,T,4,4,2,0,no,no,yes,no,4,4,2,3,4,6,11,P
F,16,U,T,1,1,1,0,yes,no,yes,yes,5,5,5,5,5,6,11,P
F,16,U,T,1,2,2,0,yes,no,yes,yes,4,3,1,1,1,4,9,P
F,16,U,T,4,3,3,0,yes,yes,yes,yes,4,4,2,4,4,2,9,P
F,15,U,T,4,3,2,0,yes,no,yes,yes,4,4,2,4,2,0,10,P
F,16,U,T,4,3,2,0,no,no,yes,yes,4,3,1,2,1,2,15,P
M,15,U,A,4,4,4,0,no,no,yes,yes,3,3,5,5,3,4,12,P
F,16,U,T,3,1,4,0,yes,yes,yes,yes,3,3,1,2,5,4,6,P
F,15,R,T,2,2,2,0,yes,yes,yes,yes,1,3,1,3,4,2,8,P
F,15,R,T,3,1,4,0,no,no,yes,yes,4,2,2,3,3,12,16,P
M,16,U,T,3,1,4,0,no,yes,yes,yes,3,2,1,1,5,0,15,P
M,15,U,T,4,2,4,0,no,no,yes,yes,3,3,1,1,3,0,10,P
F,15,R,T,1,1,2,2,yes,no,yes,yes,3,4,2,4,5,2,5,P
M,16,U,T,3,1,1,0,no,no,yes,no,3,2,2,2,5,2,14,P
F,16,U,T,3,3,2,0,yes,yes,yes,yes,3,3,2,4,5,54,11,P
M,15,U,T,4,3,2,0,no,yes,yes,yes,3,3,2,3,5,6,10,P
M,15,U,T,4,0,4,0,no,no,yes,yes,4,3,1,1,1,8,10,P
F,16,U,T,2,2,4,0,no,yes,yes,yes,2,3,1,3,3,0,11,P
M,17,U,T,2,1,1,3,yes,no,no,yes,5,1,1,1,3,2,10,P
F,16,U,T,3,4,2,0,no,no,yes,yes,4,3,1,2,3,12,5,P
M,15,U,T,2,3,1,0,yes,yes,yes,yes,2,2,1,3,3,2,12,P
M,15,U,T,2,3,3,0,yes,yes,yes,yes,3,2,1,2,5,4,11,P
F,15,U,T,3,2,2,0,no,yes,yes,yes,4,4,1,1,5,10,6,P
M,15,U,T,2,2,2,0,no,yes,yes,yes,3,3,1,3,4,4,15,P
F,15,U,T,1,1,2,0,no,no,yes,yes,3,2,2,3,4,2,10,P
F,15,U,T,4,4,2,2,no,yes,yes,yes,4,4,2,3,5,6,8,P
F,16,U,T,2,2,2,0,no,no,yes,no,3,4,1,2,2,4,6,P
F,15,U,T,4,2,3,0,no,no,yes,yes,3,3,1,3,1,4,14,P
M,16,U,T,2,2,2,1,no,yes,yes,yes,4,2,1,1,3,12,10,P
M,16,U,A,4,4,2,0,no,no,yes,no,1,3,3,5,5,18,7,P
F,16,U,T,3,3,3,0,no,yes,yes,yes,3,3,1,3,4,0,8,P
F,15,U,T,4,3,1,0,no,yes,yes,yes,5,5,1,3,1,4,18,P
F,16,U,T,3,1,2,0,yes,no,yes,no,3,3,2,3,2,4,6,P
F,16,U,T,4,2,2,0,no,yes,yes,yes,3,3,1,1,1,0,10,P
M,15,U,T,2,2,4,0,no,no,yes,yes,3,4,1,1,4,6,14,P
F,15,R,T,1,1,4,1,yes,yes,yes,yes,1,2,1,1,1,2,10,P
M,16,R,T,4,3,1,0,yes,no,yes,yes,3,3,1,1,4,2,15,P
F,16,U,T,2,1,2,0,no,yes,yes,no,3,5,1,1,5,2,10,P
F,16,U,T,4,4,1,0,no,no,yes,yes,3,4,1,2,1,6,14,P
F,16,U,T,4,3,3,0,yes,yes,yes,yes,3,5,1,1,3,0,8,P
M,16,U,T,4,4,1,0,yes,yes,yes,yes,5,5,5,5,4,14,5,P
M,16,U,T,4,4,3,0,no,no,yes,yes,4,3,1,1,4,0,17,P
M,15,U,T,4,4,1,0,no,no,yes,yes,3,3,1,1,5,4,14,P
F,15,U,T,3,2,2,0,yes,yes,yes,yes,3,5,1,1,2,26,6,P
M,15,U,A,3,4,2,0,no,yes,yes,yes,4,4,1,1,1,0,18,P
F,15,U,A,3,3,4,0,yes,no,yes,no,3,3,1,1,4,10,11,P
F,15,U,T,2,2,4,0,yes,yes,yes,yes,1,2,1,1,3,8,8,P
M,16,U,T,3,3,3,0,no,no,yes,yes,3,3,1,1,5,2,18,P
M,15,R,T,4,4,4,0,no,yes,yes,yes,3,5,3,5,1,6,13,P
F,16,U,T,4,4,3,0,no,yes,yes,yes,4,5,1,1,4,4,16,P
M,15,U,A,4,4,1,0,no,no,yes,yes,5,3,1,1,4,6,19,P
F,16,R,T,3,3,3,1,yes,no,yes,yes,1,2,1,1,2,0,10,P
F,16,U,T,2,2,2,1,yes,no,yes,yes,1,2,1,1,5,6,13,P
M,15,U,T,4,2,1,0,no,no,yes,yes,5,2,1,1,3,10,19,P
M,15,R,T,2,1,2,0,no,no,yes,yes,4,2,1,1,5,8,9,P
M,16,U,T,4,4,2,0,no,no,yes,yes,4,4,1,2,5,2,16,P
M,15,U,T,4,4,2,0,no,no,yes,no,4,3,1,1,2,2,14,P
M,16,U,T,3,3,1,0,no,no,yes,yes,4,2,1,1,5,0,13,P
M,17,R,T,1,3,2,1,no,no,yes,yes,2,4,1,4,5,20,8,P
M,15,U,T,3,4,1,0,no,no,yes,yes,4,3,1,2,4,6,13,P
F,15,U,T,1,2,2,0,no,no,yes,yes,2,3,1,2,1,2,15,P
M,15,U,T,2,2,4,0,no,yes,yes,yes,5,4,1,2,5,6,15,P
F,16,U,T,2,4,2,0,no,yes,yes,yes,2,2,1,2,5,2,13,P
M,16,U,T,4,4,1,0,no,no,yes,yes,4,4,1,4,5,18,13,P
F,16,U,T,2,2,2,0,no,yes,yes,yes,4,4,1,1,5,0,8,P
M,15,U,T,3,4,1,0,yes,no,yes,yes,5,5,3,2,5,0,12,P
F,15,U,A,3,4,2,0,yes,no,yes,yes,3,2,1,1,1,0,11,P
F,19,U,T,0,1,2,3,no,no,no,no,4,2,1,1,5,2,9,P
M,18,R,T,2,2,1,2,no,no,yes,yes,3,3,1,2,4,0,0,F
M,16,R,T,4,4,1,0,no,yes,yes,yes,5,5,2,5,4,8,18,P
F,15,R,T,3,4,3,2,no,no,yes,yes,2,2,2,2,5,0,0,F
F,15,U,T,1,1,1,0,no,no,yes,yes,3,3,1,2,4,0,0,F
F,17,U,T,2,2,1,0,no,no,yes,yes,4,4,1,3,5,12,12,P
F,16,U,A,3,4,1,0,no,no,yes,yes,2,1,1,4,5,16,11,P
M,15,R,T,3,4,2,0,no,no,yes,no,3,3,1,1,5,0,0,F
F,15,U,T,4,4,3,0,no,no,yes,yes,3,3,1,1,5,0,0,F
M,17,R,T,3,4,2,0,no,no,yes,no,4,5,2,4,5,0,0,F
F,16,U,A,3,3,1,2,no,no,yes,yes,3,2,1,1,5,0,0,F
M,16,U,T,1,1,2,1,no,no,yes,no,4,4,1,3,5,0,12,P
F,15,U,T,4,4,1,0,no,no,yes,yes,3,2,1,1,5,0,15,P
M,15,U,T,4,3,4,0,yes,no,yes,yes,2,2,1,1,3,0,0,F
M,16,U,T,2,2,1,2,no,no,yes,yes,3,3,2,2,2,8,9,P
F,15,U,T,4,4,3,0,no,yes,yes,yes,2,2,1,1,5,2,11,P
F,16,U,T,1,1,1,0,no,no,yes,yes,4,4,3,3,1,2,13,P
M,17,U,T,2,1,1,3,no,no,yes,yes,4,5,1,2,5,0,0,F
F,15,U,T,1,1,2,0,no,yes,yes,yes,4,2,1,2,5,0,11,P
F,15,U,T,3,2,2,3,no,no,yes,yes,3,2,1,1,3,0,0,F
F,15,U,T,1,2,2,0,no,yes,yes,yes,3,2,1,1,5,2,11,P
M,16,U,T,4,4,1,0,no,no,no,yes,3,2,2,1,5,0,0,F
M,15,U,A,2,1,1,3,no,no,yes,yes,5,5,2,5,5,0,10,P
M,18,U,T,1,1,1,3,no,no,no,yes,3,5,2,5,4,0,0,F
M,16,U,T,2,1,1,1,no,no,yes,no,4,4,3,5,5,6,14,P
F,15,R,T,3,3,3,2,no,yes,yes,yes,2,1,2,3,3,8,10,P
M,19,U,T,3,2,1,3,no,no,no,yes,5,4,1,1,4,0,0,F
F,17,U,T,4,4,1,0,yes,no,yes,no,2,1,1,1,4,0,12,P
M,15,R,T,2,3,2,0,yes,yes,yes,no,4,4,1,1,1,2,8,P
M,17,R,T,1,2,1,0,no,no,yes,no,2,2,3,3,5,8,13,P
F,18,R,T,1,1,1,3,no,no,yes,no,2,5,1,5,4,6,10,P
M,16,R,T,2,2,1,0,no,no,yes,no,2,2,1,2,3,2,15,P
M,16,U,T,3,3,2,1,no,yes,yes,yes,5,5,4,4,5,4,12,P
M,17,R,T,2,1,1,2,no,no,no,yes,3,2,2,2,5,0,0,F
M,15,R,T,3,2,2,2,yes,no,yes,yes,4,4,1,4,3,6,7,P
M,16,U,T,1,2,1,1,no,no,yes,no,4,4,2,4,5,0,0,F
M,17,U,T,1,3,1,0,no,no,no,yes,3,3,1,4,2,2,10,P
M,17,R,T,1,1,2,3,no,no,no,no,3,5,1,5,5,0,7,P
M,16,U,T,3,2,1,1,no,no,no,no,5,2,1,1,2,16,12,P
M,16,U,T,2,2,2,0,no,no,no,yes,3,5,2,4,4,4,10,P
F,16,U,T,4,2,2,0,no,yes,yes,yes,2,3,1,1,3,0,16,P
F,16,U,T,2,2,2,0,no,yes,yes,yes,1,5,1,1,4,0,0,F
F,16,U,T,4,4,2,0,no,yes,yes,yes,4,2,1,1,3,0,14,P
M,16,U,T,3,4,1,2,no,no,yes,yes,4,5,2,4,2,0,0,F
M,16,U,T,1,0,2,0,no,yes,yes,yes,3,2,1,1,3,2,16,P
M,17,U,T,4,4,2,0,no,yes,yes,yes,4,4,1,3,5,0,10,P
F,16,U,T,1,3,2,3,no,no,yes,yes,3,5,1,1,3,0,0,F
F,16,U,T,3,3,2,0,no,yes,yes,yes,4,5,1,1,4,4,9,P
M,17,U,T,4,3,2,0,no,yes,yes,yes,4,4,4,4,4,4,9,P
F,16,U,T,2,2,2,0,no,yes,yes,yes,4,4,1,4,5,2,11,P
M,17,U,T,3,3,2,0,no,no,yes,yes,3,4,1,4,4,4,6,P
M,16,R,T,4,2,1,0,no,no,yes,yes,3,3,3,4,3,10,9,P
M,17,U,T,4,3,2,0,no,no,yes,yes,2,3,1,1,2,4,11,P
M,16,U,T,4,3,2,0,no,yes,yes,yes,4,3,2,3,3,10,8,P
M,16,U,T,3,3,2,0,no,yes,yes,yes,2,3,1,2,3,2,12,P
F,17,U,T,2,4,2,0,no,no,yes,no,4,2,2,3,5,0,17,P
F,17,U,T,3,3,2,0,no,no,yes,yes,3,3,2,3,1,56,8,P
F,16,U,T,3,2,2,0,no,yes,yes,yes,2,2,1,2,1,14,12,P
M,17,U,T,3,3,2,0,no,no,yes,yes,3,4,2,3,4,12,11,P
M,16,U,T,1,2,1,0,no,yes,yes,yes,3,3,1,2,3,2,11,P
M,16,U,T,2,1,2,0,no,yes,yes,yes,2,3,1,2,5,0,15,P
F,17,U,A,3,3,2,0,no,no,yes,yes,3,3,1,3,3,6,9,P
M,17,R,T,1,2,2,0,no,no,yes,no,1,3,1,5,3,4,10,P
F,16,U,T,2,3,2,0,no,no,yes,yes,3,3,1,1,2,10,13,P
F,17,U,T,1,1,2,0,no,no,yes,yes,3,3,1,1,3,0,9,P
M,17,U,T,1,2,2,0,no,yes,yes,yes,4,4,4,5,5,12,8,P
M,16,R,T,3,3,1,0,no,no,yes,yes,3,2,3,4,5,8,10,P
M,16,U,T,2,3,1,0,no,no,yes,yes,3,3,1,1,3,0,14,P
F,17,U,T,2,4,2,0,no,no,yes,yes,3,2,1,1,5,0,15,P
