sex,age,address,Pstatus,Medu,Fedu,studytime,failures,schoolsup,paid,higher,internet,freetime,goout,Dalc,Walc,health,absences,G3,result
M,17,U,T,4,4,1,0,no,no,yes,yes,2,3,1,2,5,4,16,P
M,16,R,T,3,3,1,0,no,yes,yes,yes,3,4,3,5,3,8,10,P
F,17,U,T,4,4,1,1,no,no,yes,yes,2,4,2,3,2,24,18,P
F,16,U,T,4,4,2,0,no,yes,yes,yes,5,2,1,2,3,0,10,P
F,16,U,T,4,3,2,0,no,no,yes,yes,3,5,1,5,2,2,16,P
F,16,U,T,2,3,2,0,yes,yes,yes,no,4,3,1,3,4,6,10,P
F,17,U,T,1,1,2,0,no,yes,yes,no,4,4,1,3,1,4,10,P
F,17,R,T,2,2,1,0,no,no,yes,yes,3,2,1,2,3,18,6,P
F,16,R,T,2,2,4,0,no,yes,yes,yes,3,5,1,1,5,6,11,P
F,17,U,T,3,4,3,1,no,yes,yes,yes,4,3,3,4,5,28,9,P
F,16,U,A,3,1,2,3,no,yes,yes,yes,3,3,2,2,4,5,7,P
F,16,U,T,4,3,2,0,no,yes,yes,yes,3,2,1,1,1,10,13,P
F,16,U,T,1,1,1,0,no,yes,yes,no,3,2,1,4,5,6,10,P
F,17,R,T,4,3,3,0,no,yes,yes,yes,4,2,1,1,4,6,7,P
F,19,U,T,3,3,4,0,no,yes,yes,yes,3,3,1,2,3,10,8,P
M,17,U,T,4,4,2,0,no,yes,yes,yes,3,5,4,5,3,13,13,P
F,16,U,A,2,2,2,0,yes,yes,yes,yes,3,4,1,1,4,0,14,P
M,18,U,T,2,2,2,1,no,yes,yes,yes,4,4,2,4,5,15,8,P
F,17,R,T,4,4,1,0,no,yes,yes,no,2,1,1,2,3,12,10,P
F,17,U,T,3,2,2,0,no,yes,yes,yes,4,4,1,3,1,2,15,P
F,17,U,T,4,3,2,2,no,yes,yes,yes,4,5,2,4,1,22,4,F
M,18,U,T,3,3,2,1,no,yes,yes,yes,2,4,2,4,4,13,8,P
F,17,U,T,2,3,1,0,no,yes,yes,no,3,3,1,4,3,3,8,P
F,17,U,T,2,2,3,0,no,yes,yes,yes,3,3,1,1,4,4,10,P
F,17,R,T,2,1,2,0,no,no,yes,yes,2,5,1,2,5,2,6,P
F,17,U,T,1,1,3,1,no,no,yes,no,3,4,1,1,5,0,0,F
F,16,U,T,2,3,2,0,yes,no,yes,yes,3,1,1,1,3,2,17,P
M,18,U,T,2,2,2,0,no,yes,yes,yes,3,3,5,5,4,0,13,P
F,16,U,T,4,4,3,0,no,no,yes,yes,3,2,1,1,5,0,14,P
F,18,R,T,3,1,2,1,no,no,yes,yes,3,3,1,1,4,16,7,P
F,17,U,T,3,2,2,0,no,no,yes,yes,3,4,1,3,3,10,15,P
M,17,U,T,2,3,2,0,no,yes,yes,yes,3,3,1,3,3,2,12,P
M,18,U,T,2,1,2,0,yes,yes,yes,yes,3,2,4,5,3,14,9,P
F,17,U,A,2,1,3,0,no,no,yes,yes,2,3,1,2,3,10,12,P
F,17,U,T,4,3,2,0,no,no,yes,yes,2,3,1,2,3,14,14,P
M,17,R,T,2,2,2,0,no,yes,yes,yes,5,2,1,1,1,4,11,P
M,17,U,T,4,4,2,0,yes,no,yes,yes,5,5,1,3,2,14,9,P
M,16,U,T,4,4,2,0,no,yes,yes,yes,2,4,2,4,1,2,13,P
M,16,U,T,1,1,2,0,no,yes,yes,yes,4,2,1,1,5,18,6,P
M,16,U,T,3,2,3,0,no,no,yes,yes,3,3,1,3,2,10,10,P
M,17,U,T,2,2,2,0,no,yes,yes,yes,4,2,5,5,4,4,13,P
F,16,U,T,2,1,1,0,no,no,yes,yes,5,2,1,1,5,20,12,P
F,17,R,T,2,1,2,0,no,no,yes,no,1,1,1,1,3,2,11,P
M,18,U,T,2,2,2,1,no,no,no,yes,5,4,3,5,2,0,0,F
M,17,U,T,4,3,2,0,no,no,yes,yes,5,5,1,4,5,14,12,P
M,17,R,A,4,4,2,0,no,yes,yes,yes,3,3,2,3,4,2,12,P
M,16,U,T,4,3,1,0,no,no,yes,yes,4,5,1,1,3,0,0,F
M,16,U,T,4,4,1,0,no,no,yes,yes,3,2,1,2,5,0,12,P
F,18,U,T,2,1,3,0,no,yes,yes,yes,4,4,1,1,3,0,0,F
M,16,U,T,2,1,1,0,no,no,yes,yes,3,3,1,1,4,6,18,P
M,17,U,T,2,3,1,0,no,no,yes,yes,2,2,1,1,2,4,13,P
M,22,U,T,3,1,1,3,no,no,no,yes,4,5,5,5,1,16,8,P
M,18,R,T,3,3,2,1,no,no,yes,yes,3,3,1,3,5,8,5,P
M,16,U,T,0,2,1,0,no,yes,yes,yes,3,2,2,4,5,0,15,P
M,18,U,T,3,2,1,1,no,no,no,yes,4,5,2,4,5,0,8,P
M,16,U,T,3,3,2,0,yes,no,yes,yes,3,3,1,3,2,6,10,P
M,18,U,T,2,1,1,1,no,no,no,yes,2,5,2,5,5,4,8,P
M,16,R,T,2,1,1,0,no,no,yes,no,3,2,1,3,3,0,8,P
M,17,R,T,2,1,1,0,no,no,yes,yes,4,2,2,4,5,0,12,P
M,17,U,T,1,1,1,1,no,no,yes,yes,4,4,1,2,5,2,8,P
F,17,U,T,4,2,4,0,no,yes,yes,yes,2,3,1,1,4,6,13,P
M,19,U,A,4,3,2,0,no,no,yes,yes,3,1,1,1,1,12,11,P
M,18,U,T,2,1,2,0,no,no,yes,yes,2,4,1,2,4,8,14,P
F,17,U,T,2,2,4,0,no,yes,yes,yes,4,1,1,1,2,0,0,F
F,18,U,T,4,3,2,0,no,yes,yes,yes,1,2,1,3,2,21,18,P
M,18,U,T,4,3,2,0,no,yes,yes,yes,3,2,1,1,3,2,8,P
M,18,R,T,3,2,3,0,no,no,yes,no,3,2,1,1,3,1,12,P
F,17,U,T,3,3,3,0,no,no,yes,no,2,3,1,1,4,4,9,P
F,18,U,T,2,2,3,0,no,yes,yes,yes,3,3,1,1,3,0,0,F
M,18,R,A,3,4,2,0,no,yes,yes,yes,2,5,3,4,1,13,17,P
M,17,U,T,3,1,2,0,no,yes,yes,yes,4,4,3,4,5,2,10,P
F,18,R,T,4,4,2,0,no,yes,yes,yes,3,4,2,2,4,8,11,P
M,18,U,T,4,2,2,0,no,yes,yes,yes,4,5,1,3,5,10,10,P
F,18,R,T,2,1,2,0,no,no,no,yes,3,5,1,2,3,0,0,F
F,19,U,T,3,3,2,2,no,yes,yes,yes,3,5,3,3,5,15,9,P
F,18,U,T,2,3,4,0,no,yes,yes,yes,5,5,1,3,2,4,14,P
F,18,U,T,1,1,2,0,no,yes,yes,no,4,3,1,1,3,2,11,P
M,17,R,T,1,2,2,0,no,yes,yes,no,5,2,2,2,1,2,14,P
F,17,U,T,2,4,2,0,no,yes,yes,yes,3,3,1,1,1,2,10,P
F,17,U,T,2,2,2,0,yes,yes,yes,yes,4,4,2,3,5,6,12,P
F,18,R,A,3,2,2,0,no,no,no,yes,1,1,1,1,5,75,9,P
M,18,U,T,4,4,1,0,no,yes,yes,yes,2,4,1,4,3,22,9,P
F,18,U,T,4,4,2,1,yes,no,yes,yes,4,4,1,1,4,15,8,P
M,18,U,T,4,3,1,0,no,yes,yes,yes,2,3,1,2,1,8,10,P
M,17,U,A,4,1,1,0,no,yes,yes,yes,5,4,2,4,5,30,8,P
M,17,U,A,3,2,1,1,no,no,yes,yes,4,4,3,4,3,19,10,P
F,18,R,T,1,1,4,0,no,yes,yes,no,2,2,1,1,3,1,12,P
F,18,U,T,1,1,2,0,yes,no,yes,yes,4,4,1,1,4,4,10,P
F,17,U,T,2,2,2,0,no,no,yes,yes,4,5,1,2,5,4,11,P
M,17,U,T,1,1,2,0,no,yes,yes,yes,3,3,1,2,4,2,11,P
F,18,U,T,2,2,3,0,no,yes,yes,yes,3,3,1,2,2,5,19,P
F,17,U,T,1,1,3,0,no,yes,yes,yes,3,3,1,1,3,6,12,P
M,18,U,T,2,1,3,0,no,yes,yes,yes,2,4,1,3,2,6,14,P
M,18,U,A,4,4,2,0,no,yes,yes,yes,4,3,1,1,2,9,15,P
M,18,U,T,4,2,2,0,no,yes,yes,yes,3,2,1,4,5,11,11,P
F,17,U,T,4,3,3,0,no,yes,yes,yes,2,2,1,2,3,0,15,P
F,18,U,T,2,1,2,1,no,no,yes,yes,4,3,1,1,5,12,13,P
F,17,R,T,3,1,4,0,no,yes,yes,no,1,2,1,1,3,6,18,P
M,18,R,T,3,2,3,0,no,yes,yes,yes,4,2,1,1,4,8,14,P
M,17,U,T,3,3,1,0,no,yes,yes,yes,4,3,1,3,5,4,11,P
F,19,U,T,4,4,2,0,no,yes,yes,yes,3,4,2,3,2,0,0,F
F,18,U,T,4,3,2,0,no,yes,yes,yes,4,5,1,2,2,10,8,P
F,18,U,T,4,3,4,0,no,yes,yes,yes,3,3,1,1,3,0,14,P
M,18,U,T,4,4,1,0,no,yes,yes,yes,4,2,2,2,1,5,16,P
F,18,U,A,4,4,2,0,no,no,yes,yes,2,4,1,1,4,14,11,P
M,17,U,T,4,4,1,0,no,yes,yes,yes,1,1,2,2,5,0,10,P
F,17,U,T,4,2,3,0,no,yes,yes,yes,3,3,1,1,3,0,14,P
F,17,U,T,3,2,4,0,no,yes,yes,yes,2,2,1,2,5,0,18,P
M,19,U,T,3,3,2,1,no,no,yes,yes,4,4,1,1,3,20,13,P
F,18,U,T,2,4,2,1,no,yes,yes,yes,4,3,1,1,3,8,12,P
M,20,U,A,3,2,1,0,no,no,yes,no,5,3,1,1,5,0,18,P
M,19,U,T,4,4,1,1,no,yes,yes,yes,3,4,1,1,4,38,8,P
M,19,R,T,3,3,2,1,no,no,yes,no,5,3,1,2,5,0,12,P
F,19,U,T,1,1,2,1,yes,no,yes,yes,4,3,1,3,3,18,10,P
F,19,U,T,1,2,2,1,no,no,yes,no,2,4,2,2,3,0,0,F
F,19,U,T,2,1,2,0,no,no,no,yes,4,1,1,1,2,20,13,P
M,19,U,T,1,2,2,1,no,no,yes,yes,5,2,2,2,4,3,11,P
F,19,U,T,3,2,2,1,no,yes,yes,yes,2,2,1,2,1,22,11,P
F,19,U,T,1,1,3,2,no,no,yes,yes,1,2,1,1,3,14,13,P
F,19,R,T,2,3,3,1,no,no,yes,yes,1,2,1,1,3,40,11,P
F,18,U,T,2,1,2,0,no,yes,yes,yes,3,3,1,2,1,0,0,F
F,18,U,T,4,3,3,0,no,yes,yes,yes,3,4,1,1,5,9,9,P
F,17,R,T,3,4,3,0,no,yes,yes,yes,3,4,2,5,5,0,10,P
F,18,U,T,4,4,2,0,no,yes,yes,yes,4,4,3,3,5,2,11,P
F,17,U,A,4,3,2,0,no,yes,yes,yes,2,2,1,2,5,23,13,P
F,17,U,T,2,2,2,0,no,no,yes,no,2,2,1,1,3,12,9,P
F,17,R,T,2,2,3,0,no,yes,yes,yes,3,2,2,2,3,3,11,P
F,17,U,T,3,1,3,0,no,no,yes,yes,4,3,2,3,5,1,15,P
F,17,U,T,0,2,3,0,no,no,yes,yes,3,3,2,3,2,0,15,P
M,18,U,T,4,4,3,0,no,no,yes,yes,3,3,2,2,3,3,11,P
M,17,U,T,3,3,1,0,no,no,yes,yes,3,5,3,5,5,3,16,P
M,17,R,T,2,2,1,0,no,no,yes,yes,4,5,5,5,4,8,10,P
F,17,U,T,4,4,3,0,no,yes,yes,yes,4,4,1,3,4,7,9,P
F,17,U,T,4,4,3,0,no,yes,yes,yes,3,3,1,2,4,4,14,P
M,18,U,T,2,2,4,0,no,no,yes,yes,5,5,2,4,5,2,8,P
F,17,R,T,2,4,3,0,no,no,yes,yes,4,3,1,1,5,7,14,P
F,18,U,T,3,3,2,0,no,no,yes,yes,3,4,1,1,4,0,0,F
F,18,U,T,2,2,2,0,no,no,yes,yes,3,3,1,1,2,0,0,F
F,18,R,T,2,2,4,0,no,no,yes,no,4,4,1,1,4,0,0,F
F,17,U,T,3,4,3,0,no,no,yes,yes,4,5,1,3,5,16,15,P
F,19,R,A,3,1,3,1,no,yes,yes,no,4,3,1,2,5,12,13,P
F,17,U,T,3,2,2,0,no,yes,yes,yes,3,2,2,3,2,0,0,F
F,18,U,T,3,3,4,0,no,no,yes,yes,3,3,1,1,1,7,17,P
F,17,R,A,3,2,2,0,no,yes,yes,yes,3,3,2,3,2,4,10,P
F,19,U,T,2,1,3,1,no,yes,yes,yes,3,4,1,3,3,4,11,P
M,18,U,T,4,4,2,1,no,no,yes,yes,3,3,2,2,2,0,0,F
M,18,U,T,3,4,2,0,no,no,yes,yes,3,3,1,3,5,11,15,P
F,17,U,A,2,2,2,1,no,no,yes,yes,3,1,1,2,4,0,0,F
F,18,U,T,2,3,3,0,no,no,yes,yes,3,3,1,2,3,4,10,P
F,18,U,T,3,2,3,0,no,no,yes,yes,4,3,2,3,1,7,14,P
M,18,R,T,4,3,3,0,no,no,yes,yes,3,2,1,2,4,9,16,P
M,18,U,T,4,3,3,0,no,yes,yes,yes,4,5,2,3,5,0,9,P
F,17,U,T,4,3,3,0,no,yes,yes,yes,4,3,1,3,4,0,15,P
M,18,R,T,3,2,1,1,no,no,yes,yes,5,5,5,5,5,10,13,P
M,19,R,T,1,1,2,3,no,no,yes,yes,4,4,3,3,2,8,8,P
M,17,U,T,3,3,2,0,no,yes,yes,yes,5,4,2,3,3,2,13,P
M,18,U,T,1,3,1,1,no,no,no,yes,3,3,2,3,3,7,8,P
M,19,R,T,1,1,1,1,no,no,yes,yes,4,4,3,3,5,4,8,P
M,17,R,T,4,3,2,0,no,yes,yes,yes,5,5,1,3,2,4,11,P
F,18,U,T,3,3,2,0,no,no,yes,no,3,4,1,1,5,0,9,P
F,17,R,T,4,4,2,0,no,yes,yes,yes,3,3,1,2,5,4,13,P
F,17,U,A,3,2,2,0,no,no,yes,no,2,3,1,2,5,2,11,P
M,18,U,T,1,1,1,0,no,no,yes,yes,3,2,1,2,3,4,10,P
F,18,U,T,1,1,3,0,no,no,yes,yes,3,2,1,1,4,0,16,P
F,18,R,A,1,4,2,0,no,no,yes,no,3,4,1,4,5,0,13,P
M,18,R,T,1,1,2,1,no,no,no,no,4,3,2,3,5,2,12,P
F,18,U,T,3,3,2,0,no,no,yes,yes,3,2,1,3,3,0,10,P
F,17,U,T,4,4,2,0,no,yes,yes,yes,3,4,1,1,1,0,15,P
F,17,R,T,1,2,2,0,no,no,yes,no,2,2,1,2,3,0,12,P
M,18,R,T,1,3,2,0,no,yes,yes,no,3,4,2,4,3,4,10,P
M,18,U,T,4,4,3,0,no,yes,yes,yes,2,2,2,2,5,0,13,P
F,17,R,T,1,1,1,1,no,yes,yes,yes,2,1,1,2,1,0,0,F
F,18,U,T,2,3,1,0,no,yes,yes,yes,2,3,1,2,4,0,10,P
F,18,R,T,4,4,2,0,no,yes,yes,yes,2,2,4,2,5,10,11,P
F,19,U,T,3,2,2,2,no,no,yes,no,2,2,1,1,3,4,9,P
M,18,R,T,1,2,1,0,no,yes,no,yes,3,3,2,3,3,3,12,P
F,17,U,T,2,2,3,0,no,no,yes,no,4,3,1,1,3,8,11,P
F,17,R,T,1,2,1,0,no,no,yes,yes,5,5,1,3,1,14,5,P
F,18,R,T,4,4,3,0,no,no,yes,yes,4,4,1,1,1,0,19,P
F,18,R,T,1,1,3,0,no,no,yes,yes,3,2,1,2,4,2,10,P
F,20,U,T,4,2,3,2,no,yes,yes,yes,4,3,1,1,3,4,15,P
F,18,R,T,4,4,2,0,no,yes,yes,yes,4,3,3,4,2,4,10,P
F,18,U,T,3,3,2,0,no,yes,yes,yes,1,3,1,2,1,0,15,P
F,17,R,T,3,1,2,0,no,yes,yes,yes,5,4,2,3,1,17,10,P
M,18,U,T,4,4,2,0,no,yes,yes,yes,2,4,1,4,2,4,14,P
M,18,R,T,2,1,1,0,no,no,yes,yes,4,3,1,3,5,5,7,P
M,17,U,T,2,3,2,0,no,no,yes,yes,4,3,1,1,3,2,10,P
M,19,R,T,1,1,1,1,no,no,yes,no,3,2,1,3,5,0,0,F
M,18,R,T,4,2,1,1,no,yes,yes,no,4,3,4,3,3,14,5,P
F,18,R,T,2,2,3,0,no,yes,yes,no,3,3,1,3,4,2,10,P
F,18,R,T,4,4,1,0,no,yes,yes,yes,4,3,2,2,5,7,6,P
F,19,R,T,2,3,3,1,no,no,yes,yes,4,2,1,2,5,0,0,F
F,18,U,T,3,1,2,0,no,yes,yes,yes,3,4,1,1,1,0,8,P
F,18,U,T,1,1,2,1,no,no,yes,no,1,1,1,1,5,0,0,F
M,20,U,A,2,2,2,2,no,yes,yes,no,5,4,4,5,4,11,9,P
M,17,U,T,3,1,1,0,no,no,yes,yes,4,5,3,4,2,3,16,P
M,21,R,T,1,1,1,3,no,no,yes,no,5,3,3,3,3,3,7,P
M,18,R,T,3,2,1,0,no,no,yes,yes,4,1,3,4,5,0,10,P
M,19,U,T,1,1,1,0,no,no,yes,yes,2,3,3,3,5,5,9,P